,0
0,0.975609756097561
1,0.6
2,0.5833333333333334
3,0.2857142857142857
4,0.9387755102040817
5,1.0
6,0.5151515151515151
7,0.7058823529411765
8,0.8
9,
10,0.4017857142857143
11,0.6375
12,
13,1.0
14,1.0
15,0.671875
16,
17,0.6527777777777778
18,0.782608695652174
19,0.85
20,0.49333333333333335
21,0.6746987951807228
22,0.797979797979798
23,0.6944444444444444
24,0.7435897435897436
25,0.6346153846153846
26,0.5
27,0.8780487804878049
28,0.796875
29,0.5684210526315789
30,1.0
31,0.9473684210526315
32,0.7432432432432432
33,1.0
34,1.0
35,0.06451612903225806
36,0.36231884057971014
37,0.7066666666666667
38,0.8043478260869565
39,0.5362318840579711
40,1.0
41,0.7555555555555555
42,0.4659090909090909
43,0.42857142857142855
44,0.6162790697674418
45,0.42424242424242425
46,0.7857142857142857
47,0.875
48,0.6571428571428571
49,0.5538461538461539
50,0.5769230769230769
51,0.3939393939393939
52,0.4861111111111111
53,0.9629629629629629
54,0.1346153846153846
55,0.6447368421052632
56,0.7818181818181819
57,0.23728813559322035
58,0.5869565217391305
59,0.4583333333333333
60,0.5833333333333334
61,0.6666666666666666
62,0.23076923076923078
63,1.0
64,0.6486486486486487
65,0.6417910447761194
66,0.9444444444444444
67,1.0
68,1.0
69,0.8020833333333334
70,0.9607843137254902
71,0.4457831325301205
72,0.7567567567567568
73,0.1935483870967742
74,0.8275862068965517
75,0.8571428571428571
76,0.4588235294117647
77,0.7010309278350515
78,0.44761904761904764
79,0.875
80,0.6222222222222222
81,0.9411764705882353
82,0.4672897196261682
83,0.4827586206896552
84,0.20689655172413793
85,1.0
86,0.3835616438356164
87,0.9655172413793104
88,0.9375
89,0.5816326530612245
90,0.8043478260869565
91,0.5555555555555556
92,0.5980392156862745
93,1.0
94,0.4528301886792453
95,0.7894736842105263
96,0.45
97,0.38596491228070173
98,0.975609756097561
99,0.8181818181818182
100,0.4032258064516129
101,0.6301369863013698
102,0.2535211267605634
103,0.4050632911392405
104,1.0
105,1.0
106,0.3382352941176471
107,0.6228070175438597
108,1.0
109,0.25
110,0.5825242718446602
111,0.3979591836734694
112,0.5726495726495726
113,0.6862745098039216
114,0.375
115,
116,0.5531914893617021
117,0.47244094488188976
118,0.5897435897435898
119,0.7428571428571429
120,0.7884615384615384
121,0.8888888888888888
122,0.32727272727272727
123,0.6265060240963856
124,0.425
125,0.8611111111111112
126,1.0
127,0.47058823529411764
128,0.4153846153846154
129,0.7121212121212122
130,0.7361111111111112
131,0.8
132,0.5
133,0.9375
134,0.975609756097561
135,1.0
136,0.6
137,0.42452830188679247
138,0.7446808510638298
139,0.41818181818181815
140,1.0
141,0.7222222222222222
142,0.5342465753424658
143,1.0
144,0.5932203389830508
145,0.9166666666666666
146,0.5909090909090909
147,0.6794871794871795
148,
149,0.5217391304347826
150,0.9642857142857143
151,0.37735849056603776
152,0.34831460674157305
153,1.0
154,0.9473684210526315
155,0.5921052631578947
156,0.27419354838709675
157,0.9210526315789473
158,0.9090909090909091
159,0.6923076923076923
160,0.38666666666666666
161,0.9333333333333333
162,0.264
163,1.0
164,0.8117647058823529
165,0.8307692307692308
166,0.5443037974683544
167,0.9
168,0.4868421052631579
169,0.4606741573033708
170,0.7368421052631579
171,0.9047619047619048
172,0.9655172413793104
173,0.6794871794871795
174,0.6588235294117647
175,0.2857142857142857
176,0.5217391304347826
177,1.0
178,0.6545454545454545
179,0.38636363636363635
180,0.5205479452054794
181,0.4
182,
183,0.25
184,0.631578947368421
185,0.5921052631578947
186,1.0
187,0.9
188,0.7215189873417721
189,0.5555555555555556
190,
191,0.3333333333333333
192,0.5915492957746479
193,0.7681159420289855
194,0.7142857142857143
195,0.5263157894736842
196,0.85
197,0.6557377049180327
198,0.5
199,0.5076923076923077
200,0.5526315789473685
201,1.0
202,0.4492753623188406
203,0.46226415094339623
204,0.16666666666666666
205,0.6301369863013698
206,0.6666666666666666
207,0.4230769230769231
208,0.9615384615384616
209,0.5544554455445545
210,0.5
211,0.32954545454545453
212,0.48333333333333334
213,0.7241379310344828
214,0.23684210526315788
215,0.44594594594594594
216,0.640625
217,1.0
218,0.5666666666666667
219,0.5517241379310345
220,0.673469387755102
221,0.25
222,0.5760869565217391
223,0.25
224,0.7066666666666667
225,0.23809523809523808
226,0.6666666666666666
227,0.8372093023255814
228,1.0
229,0.921875
230,0.4939759036144578
231,0.21311475409836064
232,0.4186046511627907
233,0.2571428571428571
234,0.2608695652173913
235,0.6666666666666666
236,
237,0.75
238,0.8823529411764706
239,0.7272727272727273
240,0.9166666666666666
241,0.2558139534883721
242,1.0
243,0.5142857142857142
244,0.425531914893617
245,1.0
246,0.6621621621621622
247,0.6261682242990654
248,0.9454545454545454
249,0.8351648351648352
250,1.0
251,0.6
252,0.2972972972972973
253,0.5375
254,0.09090909090909091
255,
256,0.43373493975903615
257,
258,0.723404255319149
259,0.676923076923077
260,0.37254901960784315
261,1.0
262,0.3333333333333333
263,0.9782608695652174
264,0.95
265,0.6615384615384615
266,
267,0.40384615384615385
268,0.7741935483870968
269,1.0
270,0.7884615384615384
271,0.5132743362831859
272,0.8333333333333334
273,0.9
274,1.0
275,0.9629629629629629
276,1.0
277,0.84375
278,0.9824561403508771
279,1.0
280,0.9166666666666666
281,0.4642857142857143
282,0.6049382716049383
283,0.9
284,0.5666666666666667
285,0.7142857142857143
286,0.9259259259259259
287,0.9523809523809523
288,0.5882352941176471
289,0.7804878048780488
290,0.4606741573033708
291,
292,0.9523809523809523
293,1.0
294,0.5416666666666666
295,0.7368421052631579
296,0.972972972972973
297,0.5131578947368421
298,1.0
299,0.42391304347826086
300,0.75
301,0.5185185185185185
302,0.7403846153846154
303,0.9354838709677419
304,0.2871287128712871
305,0.8
306,0.5223880597014925
307,0.7540983606557377
308,1.0
309,0.7088607594936709
310,0.43023255813953487
311,0.9285714285714286
312,0.25
313,0.5
314,0.9852941176470589
315,0.08333333333333333
316,0.5342465753424658
317,0.9019607843137255
318,0.5299145299145299
319,0.6631578947368421
320,0.6590909090909091
321,0.6506024096385542
322,0.6190476190476191
323,0.6
324,0.48863636363636365
325,0.7169811320754716
326,0.5764705882352941
